,rank,year,contract_start,contract_end,contract_length,age,games,war,league_r,bats_r,throws_r,team_sr,team_pr,position_r,ts_mil,as_mil,clusters,cluster
0,1,2019,2019,2030,12,27,134,7.9,0,0,0,12,12,8,426.5,17.666667,0,light pink
1,1,2020,2019,2030,12,28,53,1.8,0,0,0,12,12,8,426.5,37.666666,0,light pink
2,1,2021,2019,2030,12,29,36,1.8,0,0,0,12,12,8,426.5,37.116667,0,light pink
3,1,2022,2019,2030,12,30,119,6.3,0,0,0,12,12,8,426.5,37.116666,0,light pink
4,1,2023,2019,2030,12,31,81,3.0,0,0,0,12,12,8,426.5,37.116667,0,light pink
5,2,2021,2021,2032,12,28,122,4.0,1,0,0,13,13,6,365.0,22.916667,0,light pink
6,2,2022,2021,2032,12,29,142,6.4,1,0,0,13,13,6,365.0,22.916666,0,light pink
7,2,2023,2021,2032,12,30,111,5.7,1,0,0,13,13,6,365.0,25.416667,0,light pink
8,3,2023,2023,2031,9,31,65,3.0,0,0,0,18,18,8,360.0,40.0,0,light pink
9,4,2023,2023,2033,11,30,103,2.4,1,0,0,22,22,5,350.0,17.090909,0,light pink
10,5,2022,2022,2031,10,28,161,5.5,1,2,0,17,17,6,341.0,34.1,0,light pink
11,5,2023,2022,2031,10,29,117,4.6,1,2,0,17,17,6,341.0,34.1,0,light pink
12,6,2021,2021,2034,14,22,130,6.6,1,0,0,22,22,9,340.0,1.714286,0,light pink
13,6,2023,2021,2034,14,24,99,4.2,1,0,0,22,22,9,340.0,7.714285,0,light pink
14,7,2019,2019,2031,13,26,157,4.4,1,1,0,29,20,9,330.0,11.538462,0,light pink
15,7,2020,2019,2031,13,27,58,2.0,1,1,0,29,20,9,330.0,27.538461,0,light pink
16,7,2021,2019,2031,13,28,141,5.9,1,1,0,29,20,9,330.0,27.538462,0,light pink
17,7,2022,2019,2031,13,29,99,2.5,1,1,0,29,20,9,330.0,27.538461,0,light pink
18,7,2023,2019,2031,13,30,85,1.2,1,1,0,29,20,9,330.0,27.538462,0,light pink
19,8,2022,2022,2031,10,28,151,3.9,0,1,0,27,27,6,325.0,33.0,0,light pink
20,8,2023,2022,2031,10,29,76,5.0,0,1,0,27,27,6,325.0,35.5,0,light pink
21,8,2015,2015,2027,13,25,74,3.7,1,0,0,14,14,9,325.0,6.5,0,light pink
22,8,2016,2015,2027,13,26,119,2.5,1,0,0,14,14,9,325.0,9.0,0,light pink
23,8,2017,2015,2027,13,27,159,7.9,1,0,0,14,14,9,325.0,14.5,0,light pink
24,8,2018,2015,2027,13,28,158,4.4,0,0,0,14,18,9,325.0,25.0,0,light pink
25,8,2019,2015,2027,13,29,18,0.4,0,0,0,14,18,9,325.0,26.0,0,light pink
26,8,2020,2015,2027,13,30,23,0.6,0,0,0,14,18,9,325.0,26.0,0,light pink
27,8,2021,2015,2027,13,31,139,3.1,0,0,0,14,18,9,325.0,29.0,0,light pink
28,8,2022,2015,2027,13,32,110,0.7,0,0,0,14,18,9,325.0,29.0,0,light pink
29,8,2023,2015,2027,13,33,69,0.2,0,0,0,14,18,9,325.0,32.0,0,light pink
30,10,2020,2020,2028,9,29,12,2.2,0,0,0,18,18,1,324.0,36.0,0,light pink
31,10,2021,2020,2028,9,30,30,5.7,0,0,0,18,18,1,324.0,36.0,0,light pink
32,10,2022,2020,2028,9,31,33,2.5,0,0,0,18,18,1,324.0,36.0,0,light pink
33,10,2023,2020,2028,9,32,25,5.0,0,0,0,18,18,1,324.0,36.0,0,light pink
34,11,2023,2023,2033,10,26,111,2.5,0,1,0,3,3,5,313.5,17.5,0,light pink
35,12,2023,2019,2028,10,30,103,2.4,1,0,0,22,22,5,300.0,17.090909,0,light pink
36,12,2019,2019,2028,10,26,156,2.6,1,0,0,22,22,5,300.0,12.0,0,light pink
37,12,2020,2019,2028,10,27,60,3.2,1,0,0,22,22,5,300.0,32.0,0,light pink
38,12,2021,2019,2028,10,28,153,5.0,1,0,0,22,22,5,300.0,32.0,0,light pink
39,12,2022,2019,2028,10,29,150,6.8,1,0,0,22,22,5,300.0,32.0,0,light pink
40,12,2023,2023,2033,11,30,117,1.7,1,0,0,20,20,6,300.0,27.272727,0,light pink
41,14,2023,2023,2033,11,30,113,2.8,1,0,0,22,22,6,280.0,25.454545,0,light pink
42,15,2008,2008,2017,10,32,138,6.8,0,0,0,18,18,6,275.0,28.0,0,light pink
43,15,2009,2008,2017,10,33,124,4.2,0,0,0,18,18,6,275.0,33.0,0,light pink
44,15,2010,2008,2017,10,34,137,4.2,0,0,0,18,18,6,275.0,33.0,0,light pink
45,15,2011,2008,2017,10,35,99,4.0,0,0,0,18,18,6,275.0,32.0,0,light pink
46,15,2012,2008,2017,10,36,122,2.2,0,0,0,18,18,6,275.0,29.0,0,light pink
47,15,2013,2008,2017,10,37,44,0.0,0,0,0,18,18,6,275.0,28.0,0,light pink
48,15,2015,2008,2017,10,39,151,3.0,0,0,0,18,18,6,275.0,22.0,0,light pink
49,15,2016,2008,2017,10,40,65,-1.2,0,0,0,18,18,6,275.0,21.0,0,light pink
50,16,2019,2019,2027,8,28,155,7.3,1,0,0,8,8,5,260.0,26.0,0,light pink
51,16,2020,2019,2027,8,29,48,1.5,1,0,0,8,8,5,260.0,35.0,0,light pink
52,16,2021,2019,2027,8,30,157,4.0,1,0,0,8,25,5,260.0,35.0,0,light pink
53,16,2022,2019,2027,8,31,148,7.9,1,0,0,8,25,5,260.0,35.0,0,light pink
54,16,2023,2019,2027,8,32,113,2.5,1,0,0,8,25,5,260.0,35.0,0,light pink
55,17,2008,2001,2010,10,32,138,6.8,0,0,0,27,18,6,252.0,28.0,0,light pink
56,17,2009,2001,2010,10,33,124,4.2,0,0,0,27,18,6,252.0,33.0,0,light pink
57,17,2010,2001,2010,10,34,137,4.2,0,0,0,27,18,6,252.0,33.0,0,light pink
58,17,2001,2001,2010,10,25,162,8.3,0,0,0,27,27,6,252.0,22.0,0,light pink
59,17,2002,2001,2010,10,26,162,8.8,0,0,0,27,27,6,252.0,22.0,0,light pink
60,17,2003,2001,2010,10,27,161,8.4,0,0,0,27,27,6,252.0,22.0,0,light pink
61,17,2004,2001,2010,10,28,155,7.6,0,0,0,27,18,6,252.0,22.0,0,light pink
62,17,2005,2001,2010,10,29,162,9.4,0,0,0,27,18,6,252.0,26.0,0,light pink
63,17,2006,2001,2010,10,30,154,4.5,0,0,0,27,18,6,252.0,21.680727,0,light pink
64,17,2007,2001,2010,10,31,158,9.4,0,0,0,27,18,6,252.0,22.708525,0,light pink
65,18,2016,2016,2025,8,33,158,5.1,0,0,0,9,9,10,248.0,28.0,0,light pink
66,18,2017,2016,2025,8,34,130,-0.9,0,0,0,9,9,10,248.0,28.0,0,light pink
67,18,2018,2016,2025,8,35,38,0.2,0,0,0,9,9,10,248.0,30.0,0,light pink
68,18,2019,2016,2025,8,36,136,0.0,0,0,0,9,9,10,248.0,30.0,0,light pink
69,18,2020,2016,2025,8,37,57,0.1,0,0,0,9,9,10,248.0,30.0,0,light pink
70,18,2021,2016,2025,8,38,130,-0.6,0,0,0,9,9,10,248.0,30.0,0,light pink
71,18,2022,2016,2025,8,39,112,-1.0,0,0,0,9,9,10,248.0,32.0,0,light pink
72,18,2023,2016,2025,8,40,69,-0.2,0,0,0,9,9,10,248.0,32.0,0,light pink
73,19,2020,2020,2026,7,30,52,2.2,0,0,0,12,12,5,245.0,26.071429,0,light pink
74,19,2021,2020,2026,7,31,58,0.0,0,0,0,12,12,5,245.0,28.071428,0,light pink
75,19,2022,2020,2026,7,32,47,0.9,0,0,0,12,12,5,245.0,36.571429,0,light pink
